city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Mount Vista,Mount Vista,,45.7373,-122.6315,United States,US,USA,Washington,Washington,US-WA,state,,704.0,9544.0,9544.0,3,America/Los_Angeles,False,1840037858
Carlisle West,Carlisle West,,47.1523,-124.108,United States,US,USA,Washington,Washington,US-WA,state,,6.7,,,5,America/Los_Angeles,False,1840120450
Mill Creek,Mill Creek,,47.8631,-122.2037,United States,US,USA,Washington,Washington,US-WA,state,,1737.0,20897.0,20897.0,3,America/Los_Angeles,False,1840019790
Agate Bay,Agate Bay,,48.7559,-122.3554,United States,US,USA,Washington,Washington,US-WA,state,,269.9,,,4,America/Los_Angeles,False,1840120755
Decatur,Decatur,,48.5004,-122.8196,United States,US,USA,Washington,Washington,US-WA,state,,14.4,,,4,America/Los_Angeles,False,1840120756
Littell,Littell,,46.6368,-123.0354,United States,US,USA,Washington,Washington,US-WA,state,,59.9,,,4,America/Los_Angeles,False,1840119582
Granite Falls,Granite Falls,,48.0874,-121.9706,United States,US,USA,Washington,Washington,US-WA,state,,745.0,7713.0,4234.0,3,America/Los_Angeles,False,1840019787
Granger,Granger,,46.3455,-120.1926,United States,US,USA,Washington,Washington,US-WA,state,,854.0,3830.0,3830.0,3,America/Los_Angeles,False,1840019872
Cohassett,Cohassett,,46.8726,-124.1066,United States,US,USA,Washington,Washington,US-WA,state,,425.4,,,4,America/Los_Angeles,False,1840120376
Melbourne,Melbourne,,46.9454,-123.626,United States,US,USA,Washington,Washington,US-WA,state,,20.7,,,4,America/Los_Angeles,False,1840037502
Pleasant Hill,Pleasant Hill,,47.6154,-121.9096,United States,US,USA,Washington,Washington,US-WA,state,,25.8,,,4,America/Los_Angeles,False,1840141743
Rimrock,Rimrock,,46.6643,-121.1251,United States,US,USA,Washington,Washington,US-WA,state,,4.3,,,5,America/Los_Angeles,False,1840120638
Skykomish,Skykomish,,47.7104,-121.3584,United States,US,USA,Washington,Washington,US-WA,state,,270.0,220.0,220.0,3,America/Los_Angeles,False,1840022299
Paradise,Paradise,,46.7862,-121.7354,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120749
Canyon Creek,Canyon Creek,,48.1157,-121.9831,United States,US,USA,Washington,Washington,US-WA,state,,217.0,3433.0,3433.0,3,America/Los_Angeles,False,1840074181
Highland,Highland,,46.1362,-119.1272,United States,US,USA,Washington,Washington,US-WA,state,,0.2,,,3,America/Los_Angeles,False,1840141802
Cozy Nook,Cozy Nook,,48.3241,-117.7058,United States,US,USA,Washington,Washington,US-WA,state,,25.7,,,4,America/Los_Angeles,False,1840120470
Spring Valley,Spring Valley,,47.2746,-117.2846,United States,US,USA,Washington,Washington,US-WA,state,,0.6,,,5,America/Los_Angeles,False,1840120041
Stateline,Stateline,,46.001,-118.4144,United States,US,USA,Washington,Washington,US-WA,state,,102.6,,,4,America/Los_Angeles,False,1840120043
Staley,Staley,,46.6696,-117.1485,United States,US,USA,Washington,Washington,US-WA,state,,2.6,,,5,America/Los_Angeles,False,1840120042
Stentz Spring,Stentz Spring,,46.2279,-117.5791,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120045
Stella,Stella,,46.1907,-123.1198,United States,US,USA,Washington,Washington,US-WA,state,,33.4,,,4,America/Los_Angeles,False,1840120044
St. John,St. John,Saint John,47.0915,-117.5887,United States,US,USA,Washington,Washington,US-WA,state,,321.0,559.0,559.0,3,America/Los_Angeles,False,1840021139
Sunny Shore Acres,Sunny Shore Acres,,48.1087,-122.4068,United States,US,USA,Washington,Washington,US-WA,state,,183.8,,,4,America/Los_Angeles,False,1840120390
Kalaloch,Kalaloch,,47.6045,-124.3724,United States,US,USA,Washington,Washington,US-WA,state,,0.1,,,5,America/Los_Angeles,False,1840033762
Hazel,Hazel,,48.2773,-121.809,United States,US,USA,Washington,Washington,US-WA,state,,7.7,,,5,America/Los_Angeles,False,1840120541
Washtucna,Washtucna,,46.7539,-118.3106,United States,US,USA,Washington,Washington,US-WA,state,,121.0,208.0,208.0,3,America/Los_Angeles,False,1840022312
Waterville,Waterville,,47.648,-120.0707,United States,US,USA,Washington,Washington,US-WA,state,,541.0,1213.0,1213.0,3,America/Los_Angeles,False,1840022287
Waverly,Waverly,,47.3381,-117.2312,United States,US,USA,Washington,Washington,US-WA,state,,101.0,109.0,109.0,3,America/Los_Angeles,False,1840022291
Fort Lewis,Fort Lewis,,47.0955,-122.5672,United States,US,USA,Washington,Washington,US-WA,state,,492.0,13054.0,13054.0,3,America/Los_Angeles,False,1840073933
New Reliance,New Reliance,,46.8101,-122.2662,United States,US,USA,Washington,Washington,US-WA,state,,7.8,,,5,America/Los_Angeles,False,1840120602
Clayton,Clayton,,48.0013,-117.5613,United States,US,USA,Washington,Washington,US-WA,state,,163.0,547.0,547.0,3,America/Los_Angeles,False,1840025239
Priest Point,Priest Point,,48.0311,-122.2478,United States,US,USA,Washington,Washington,US-WA,state,,878.6,,,3,America/Los_Angeles,False,1840136533
Prairie Ridge,Prairie Ridge,,47.1443,-122.1408,United States,US,USA,Washington,Washington,US-WA,state,,1132.0,11994.0,11994.0,3,America/Los_Angeles,False,1840037882
Centralia,Centralia,,46.7226,-122.9696,United States,US,USA,Washington,Washington,US-WA,state,,904.0,42922.0,17745.0,3,America/Los_Angeles,False,1840018471
Anatone,Anatone,,46.1348,-117.1328,United States,US,USA,Washington,Washington,US-WA,state,,31.1,,,3,America/Los_Angeles,False,1840037490
Magnolia Bluff,Magnolia Bluff,,47.6523,-122.4012,United States,US,USA,Washington,Washington,US-WA,state,,2523.6,,,4,America/Los_Angeles,False,1840120276
Malden,Malden,,47.2296,-117.4731,United States,US,USA,Washington,Washington,US-WA,state,,120.0,206.0,206.0,3,America/Los_Angeles,False,1840022313
Manitou Beach,Manitou Beach,,47.6557,-122.5107,United States,US,USA,Washington,Washington,US-WA,state,,555.3,,,4,America/Los_Angeles,False,1840120277
Maple Beach,Maple Beach,,49.0007,-123.0374,United States,US,USA,Washington,Washington,US-WA,state,,2247.6,,,4,America/Los_Angeles,False,1840120278
Boulevard Park,Boulevard Park,,47.5136,-122.316,United States,US,USA,Washington,Washington,US-WA,state,,1210.0,3717.0,3717.0,3,America/Los_Angeles,False,1840037519
Husum,Husum,,45.7993,-121.487,United States,US,USA,Washington,Washington,US-WA,state,,79.2,,,4,America/Los_Angeles,False,1840037776
Nine Mile Falls,Nine Mile Falls,,47.7757,-117.5461,United States,US,USA,Washington,Washington,US-WA,state,,53.5,,,4,America/Los_Angeles,False,1840037609
Everson,Everson,,48.9123,-122.351,United States,US,USA,Washington,Washington,US-WA,state,,839.0,4957.0,2841.0,3,America/Los_Angeles,False,1840019750
Ramapo,Ramapo,,48.1215,-123.683,United States,US,USA,Washington,Washington,US-WA,state,,112.5,,,4,America/Los_Angeles,False,1840120635
Creswell Heights,Creswell Heights,,45.6898,-122.3365,United States,US,USA,Washington,Washington,US-WA,state,,44.6,,,4,America/Los_Angeles,False,1840120474
Greenwater,Greenwater,,47.1465,-121.632,United States,US,USA,Washington,Washington,US-WA,state,,14.0,56.0,56.0,3,America/Los_Angeles,False,1840017343
Cispus,Cispus,,46.4923,-122.1223,United States,US,USA,Washington,Washington,US-WA,state,,1.2,,,5,America/Los_Angeles,False,1840120460
Cinebar,Cinebar,,46.6043,-122.5318,United States,US,USA,Washington,Washington,US-WA,state,,17.8,,,4,America/Los_Angeles,False,1840037756
Newport,Newport,,48.1788,-117.0543,United States,US,USA,Washington,Washington,US-WA,state,,618.0,2708.0,2199.0,3,America/Los_Angeles,False,1840019765
Newcastle,Newcastle,,47.5303,-122.1633,United States,US,USA,Washington,Washington,US-WA,state,,1066.0,12292.0,12292.0,3,America/Los_Angeles,False,1840019831
Bees Mill,Bees Mill,,47.7623,-122.856,United States,US,USA,Washington,Washington,US-WA,state,,6.8,,,5,America/Los_Angeles,False,1840120434
Zillah,Zillah,,46.4084,-120.2725,United States,US,USA,Washington,Washington,US-WA,state,,667.0,3140.0,3140.0,3,America/Los_Angeles,False,1840021155
Republic,Republic,,48.6483,-118.7334,United States,US,USA,Washington,Washington,US-WA,state,,289.0,1066.0,1066.0,3,America/Los_Angeles,False,1840019766
Penn Cove Park,Penn Cove Park,,48.2398,-122.6732,United States,US,USA,Washington,Washington,US-WA,state,,706.6,,,4,America/Los_Angeles,False,1840120307
Phinney Ridge,Phinney Ridge,,47.6723,-122.3607,United States,US,USA,Washington,Washington,US-WA,state,,4393.8,,,4,America/Los_Angeles,False,1840120308
Pasadena Park,Pasadena Park,,47.6968,-117.2827,United States,US,USA,Washington,Washington,US-WA,state,,864.5,,,4,America/Los_Angeles,False,1840120305
Pataha,Pataha,,46.4727,-117.5443,United States,US,USA,Washington,Washington,US-WA,state,,24.8,,,3,America/Los_Angeles,False,1840037699
Pebble Beach,Pebble Beach,,48.0665,-122.3874,United States,US,USA,Washington,Washington,US-WA,state,,110.5,,,4,America/Los_Angeles,False,1840120306
Sumner,Sumner,,47.2189,-122.2338,United States,US,USA,Washington,Washington,US-WA,state,,534.0,10427.0,10427.0,3,America/Los_Angeles,False,1840021128
Tonasket,Tonasket,,48.7077,-119.4413,United States,US,USA,Washington,Washington,US-WA,state,,458.0,1121.0,1121.0,3,America/Los_Angeles,False,1840021057
Seattle,Seattle,,47.6211,-122.3244,United States,US,USA,Washington,Washington,US-WA,state,,3469.0,3789215.0,753675.0,1,America/Los_Angeles,False,1840021117
Lakeview,Lakeview,,47.3755,-119.5044,United States,US,USA,Washington,Washington,US-WA,state,,358.0,1044.0,1044.0,3,America/Los_Angeles,False,1840136062
Sunset Beach,Sunset Beach,,47.4081,-122.8854,United States,US,USA,Washington,Washington,US-WA,state,,164.4,,,4,America/Los_Angeles,False,1840142155
Wauconda,Wauconda,,48.7257,-119.0137,United States,US,USA,Washington,Washington,US-WA,state,,2.8,,,5,America/Los_Angeles,False,1840120692
Camas,Camas,,45.6005,-122.4305,United States,US,USA,Washington,Washington,US-WA,state,,669.0,24418.0,24418.0,3,America/Los_Angeles,False,1840018524
Medical Lake,Medical Lake,,47.5712,-117.6893,United States,US,USA,Washington,Washington,US-WA,state,,568.0,4966.0,4966.0,3,America/Los_Angeles,False,1840019804
West Sound,West Sound,,48.6312,-122.9563,United States,US,USA,Washington,Washington,US-WA,state,,38.9,,,4,America/Los_Angeles,False,1840120363
West Richland,West Richland,,46.3115,-119.3998,United States,US,USA,Washington,Washington,US-WA,state,,263.0,15075.0,15075.0,3,America/Los_Angeles,False,1840021168
West Kelso,West Kelso,,46.1459,-122.9229,United States,US,USA,Washington,Washington,US-WA,state,,1483.3,,,4,America/Los_Angeles,False,1840120362
Duwamish,Duwamish,,47.507,-122.291,United States,US,USA,Washington,Washington,US-WA,state,,114.2,,,4,America/Los_Angeles,False,1840120360
West Highlands,West Highlands,,46.2135,-119.1811,United States,US,USA,Washington,Washington,US-WA,state,,2930.3,,,4,America/Los_Angeles,False,1840120361
Westhaven,Westhaven,,46.9084,-124.1132,United States,US,USA,Washington,Washington,US-WA,state,,235.2,,,4,America/Los_Angeles,False,1840120364
Battle Ground,Battle Ground,,45.7765,-122.5413,United States,US,USA,Washington,Washington,US-WA,state,,964.0,21252.0,21252.0,3,America/Los_Angeles,False,1840018523
Rosario,Rosario,,48.6487,-122.876,United States,US,USA,Washington,Washington,US-WA,state,,189.8,,,4,America/Los_Angeles,False,1840037708
Rodena Beach,Rodena Beach,,48.219,-122.631,United States,US,USA,Washington,Washington,US-WA,state,,134.2,,,4,America/Los_Angeles,False,1840120318
Warm Beach,Warm Beach,,48.1649,-122.3442,United States,US,USA,Washington,Washington,US-WA,state,,246.0,2603.0,2603.0,3,America/Los_Angeles,False,1840018377
Chiwaukum,Chiwaukum,,47.6904,-120.7359,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120456
Weallup Lake,Weallup Lake,,48.1067,-122.3154,United States,US,USA,Washington,Washington,US-WA,state,,94.5,,,3,America/Los_Angeles,False,1840136823
Issaquah,Issaquah,,47.544,-122.0471,United States,US,USA,Washington,Washington,US-WA,state,,1257.0,39509.0,39509.0,3,America/Los_Angeles,False,1840018422
Mossyrock,Mossyrock,,46.5305,-122.4887,United States,US,USA,Washington,Washington,US-WA,state,,460.0,820.0,820.0,3,America/Los_Angeles,False,1840019883
Gleed,Gleed,,46.6594,-120.6025,United States,US,USA,Washington,Washington,US-WA,state,,200.0,2808.0,2808.0,3,America/Los_Angeles,False,1840017370
Cle Elum,Cle Elum,,47.1943,-120.9539,United States,US,USA,Washington,Washington,US-WA,state,,175.0,3851.0,2037.0,3,America/Los_Angeles,False,1840018440
Orient,Orient,,48.8637,-118.2059,United States,US,USA,Washington,Washington,US-WA,state,,73.0,82.0,82.0,3,America/Los_Angeles,False,1840025243
Onalaska,Onalaska,,46.5783,-122.7112,United States,US,USA,Washington,Washington,US-WA,state,,131.0,544.0,544.0,3,America/Los_Angeles,False,1840025264
Mineral,Mineral,,46.7193,-122.1859,United States,US,USA,Washington,Washington,US-WA,state,,118.0,205.0,205.0,3,America/Los_Angeles,False,1840025263
Ryderwood,Ryderwood,,46.375,-123.0441,United States,US,USA,Washington,Washington,US-WA,state,,1208.0,503.0,503.0,3,America/Los_Angeles,False,1840025275
Point Roberts,Point Roberts,,48.9883,-123.0576,United States,US,USA,Washington,Washington,US-WA,state,,88.0,1116.0,1116.0,3,America/Los_Angeles,False,1840025234
Packwood,Packwood,,46.6085,-121.6702,United States,US,USA,Washington,Washington,US-WA,state,,121.0,315.0,315.0,3,America/Los_Angeles,False,1840025265
Union,Union,,47.3475,-123.0952,United States,US,USA,Washington,Washington,US-WA,state,,102.0,428.0,428.0,3,America/Los_Angeles,False,1840025253
Rock Island,Rock Island,,47.3739,-120.1382,United States,US,USA,Washington,Washington,US-WA,state,,529.0,1124.0,1124.0,3,America/Los_Angeles,False,1840019796
Aeneas,Aeneas,,48.5474,-118.9786,United States,US,USA,Washington,Washington,US-WA,state,,9.7,,,5,America/Los_Angeles,False,1840037741
Vancouver,Vancouver,,45.6366,-122.5967,United States,US,USA,Washington,Washington,US-WA,state,,1461.0,184463.0,184463.0,2,America/Los_Angeles,False,1840021189
Welcome,Welcome,,48.8379,-122.1657,United States,US,USA,Washington,Washington,US-WA,state,,87.9,,,4,America/Los_Angeles,False,1840120713
Mukilteo,Mukilteo,,47.9096,-122.3035,United States,US,USA,Washington,Washington,US-WA,state,,1323.0,21441.0,21441.0,3,America/Los_Angeles,False,1840019793
Brinnon,Brinnon,,47.6689,-122.9249,United States,US,USA,Washington,Washington,US-WA,state,,31.0,784.0,784.0,3,America/Los_Angeles,False,1840017329
Deer Valley,Deer Valley,,48.1816,-117.3008,United States,US,USA,Washington,Washington,US-WA,state,,5.3,,,5,America/Los_Angeles,False,1840120480
White Swan,White Swan,,46.3769,-120.7382,United States,US,USA,Washington,Washington,US-WA,state,,123.0,851.0,851.0,3,America/Los_Angeles,False,1840018464
Ozette,Ozette,,48.1548,-124.6672,United States,US,USA,Washington,Washington,US-WA,state,,2.9,,,5,America/Los_Angeles,False,1840119940
Omans,Omans,,47.6021,-118.078,United States,US,USA,Washington,Washington,US-WA,state,,0.4,,,5,America/Los_Angeles,False,1840119938
Olga,Olga,,48.6195,-122.8355,United States,US,USA,Washington,Washington,US-WA,state,,57.0,,,4,America/Los_Angeles,False,1840119937
Oneida,Oneida,,46.3143,-123.6788,United States,US,USA,Washington,Washington,US-WA,state,,19.8,,,4,America/Los_Angeles,False,1840119939
Offutt Lake,Offutt Lake,,46.9104,-122.8257,United States,US,USA,Washington,Washington,US-WA,state,,461.0,,,4,America/Los_Angeles,False,1840119934
Odair,Odair,,47.611,-119.2678,United States,US,USA,Washington,Washington,US-WA,state,,5.0,,,5,America/Los_Angeles,False,1840119933
Olequa,Olequa,,46.374,-122.9398,United States,US,USA,Washington,Washington,US-WA,state,,22.7,,,4,America/Los_Angeles,False,1840119936
Old Tacoma,Old Tacoma,,47.2759,-122.4693,United States,US,USA,Washington,Washington,US-WA,state,,1248.3,,,4,America/Los_Angeles,False,1840119935
Ginger,Ginger,,46.6807,-119.5059,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840119779
Gilliam,Gilliam,,46.1274,-118.1786,United States,US,USA,Washington,Washington,US-WA,state,,2.3,,,5,America/Los_Angeles,False,1840119778
Geib,Geib,,47.4343,-117.6605,United States,US,USA,Washington,Washington,US-WA,state,,7.1,,,5,America/Los_Angeles,False,1840119775
Fruitland,Fruitland,,48.071,-118.1989,United States,US,USA,Washington,Washington,US-WA,state,,5.1,,,5,America/Los_Angeles,False,1840037552
Fuller,Fuller,,46.974,-123.471,United States,US,USA,Washington,Washington,US-WA,state,,12.0,,,4,America/Los_Angeles,False,1840119773
Fryelands,Fryelands,,47.8715,-122.009,United States,US,USA,Washington,Washington,US-WA,state,,21.7,,,4,America/Los_Angeles,False,1840119772
Tillicum,Tillicum,,47.1234,-122.5571,United States,US,USA,Washington,Washington,US-WA,state,,1111.9,,,4,America/Los_Angeles,False,1840037717
Tietonview Grange,Tietonview Grange,,46.5932,-120.7087,United States,US,USA,Washington,Washington,US-WA,state,,61.4,,,4,America/Los_Angeles,False,1840120344
Thomas,Thomas,,47.3537,-122.229,United States,US,USA,Washington,Washington,US-WA,state,,158.9,,,4,America/Los_Angeles,False,1840037715
Bandera,Bandera,,47.3868,-121.5337,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120424
Salkum,Salkum,,46.5321,-122.6259,United States,US,USA,Washington,Washington,US-WA,state,,72.1,,,4,America/Los_Angeles,False,1840037813
Cosmopolis,Cosmopolis,,46.954,-123.7726,United States,US,USA,Washington,Washington,US-WA,state,,461.0,1662.0,1662.0,3,America/Los_Angeles,False,1840018448
Millwood,Millwood,,47.6856,-117.2806,United States,US,USA,Washington,Washington,US-WA,state,,998.0,1800.0,1800.0,3,America/Los_Angeles,False,1840022289
Happy Valley,Happy Valley,,48.0493,-123.0966,United States,US,USA,Washington,Washington,US-WA,state,,97.1,,,4,America/Los_Angeles,False,1840120536
Bingen,Bingen,,45.714,-121.4703,United States,US,USA,Washington,Washington,US-WA,state,,460.0,742.0,742.0,3,America/Los_Angeles,False,1840018529
Darrington,Darrington,,48.2546,-121.6031,United States,US,USA,Washington,Washington,US-WA,state,,317.0,1421.0,1421.0,3,America/Los_Angeles,False,1840021081
White Center,White Center,,47.5086,-122.348,United States,US,USA,Washington,Washington,US-WA,state,,2706.0,15834.0,15834.0,2,America/Los_Angeles,False,1840037727
Langdon,Langdon,,46.0271,-118.3391,United States,US,USA,Washington,Washington,US-WA,state,,52.1,,,4,America/Los_Angeles,False,1840120266
Langley,Langley,,48.0337,-122.4084,United States,US,USA,Washington,Washington,US-WA,state,,436.0,1140.0,1140.0,3,America/Los_Angeles,False,1840019780
Lakeview Park,Lakeview Park,,47.3765,-119.5078,United States,US,USA,Washington,Washington,US-WA,state,,143.8,,,4,America/Los_Angeles,False,1840120265
Lakewood,Lakewood,,47.1628,-122.5299,United States,US,USA,Washington,Washington,US-WA,state,,1381.0,61037.0,61037.0,3,America/Los_Angeles,False,1840019860
Larchmont,Larchmont,,47.1698,-122.4337,United States,US,USA,Washington,Washington,US-WA,state,,1934.2,,,4,America/Los_Angeles,False,1840120267
Puget Island,Puget Island,,46.1742,-123.383,United States,US,USA,Washington,Washington,US-WA,state,,57.0,1118.0,1118.0,3,America/Los_Angeles,False,1840042033
Port Gamble Tribal Community,Port Gamble Tribal Community,,47.8487,-122.5571,United States,US,USA,Washington,Washington,US-WA,state,,83.0,914.0,914.0,3,America/Los_Angeles,False,1840042014
Qui-nai-elt Village,Qui-nai-elt Village,,47.2502,-124.1903,United States,US,USA,Washington,Washington,US-WA,state,,26.0,50.0,50.0,3,America/Los_Angeles,False,1840042034
Conway,Conway,,48.3355,-122.3444,United States,US,USA,Washington,Washington,US-WA,state,,122.3,0.0,0.0,3,America/Los_Angeles,False,1840017311
Tukwila,Tukwila,,47.4749,-122.2727,United States,US,USA,Washington,Washington,US-WA,state,,855.0,20347.0,20347.0,3,America/Los_Angeles,False,1840021120
Ellisville,Ellisville,,47.5223,-121.7582,United States,US,USA,Washington,Washington,US-WA,state,,39.1,,,4,America/Los_Angeles,False,1840120503
Brownsville,Brownsville,,47.6557,-122.6165,United States,US,USA,Washington,Washington,US-WA,state,,629.0,,,4,America/Los_Angeles,False,1840037532
Buckhorn,Buckhorn,,48.7065,-122.8694,United States,US,USA,Washington,Washington,US-WA,state,,58.6,,,4,America/Los_Angeles,False,1840119670
Bunker Hill,Bunker Hill,,46.2023,-123.1387,United States,US,USA,Washington,Washington,US-WA,state,,28.3,,,4,America/Los_Angeles,False,1840119673
Buroker,Buroker,,46.1171,-118.2183,United States,US,USA,Washington,Washington,US-WA,state,,6.5,,,5,America/Los_Angeles,False,1840119674
Belmont,Belmont,,47.0879,-117.1624,United States,US,USA,Washington,Washington,US-WA,state,,1.1,,,5,America/Los_Angeles,False,1840037733
Kalama,Kalama,,46.0164,-122.8402,United States,US,USA,Washington,Washington,US-WA,state,,302.0,3951.0,2798.0,3,America/Los_Angeles,False,1840018502
Fobes Hill,Fobes Hill,,47.9392,-122.1341,United States,US,USA,Washington,Washington,US-WA,state,,247.0,2984.0,2984.0,3,America/Los_Angeles,False,1840037736
Martindale,Martindale,,46.2429,-118.9631,United States,US,USA,Washington,Washington,US-WA,state,,5.5,,,5,America/Los_Angeles,False,1840120179
Fort Spokane,Fort Spokane,,47.9046,-118.3092,United States,US,USA,Washington,Washington,US-WA,state,,9.4,,,5,America/Los_Angeles,False,1840120178
Fern Prairie,Fern Prairie,,45.637,-122.3963,United States,US,USA,Washington,Washington,US-WA,state,,150.0,1958.0,1958.0,3,America/Los_Angeles,False,1840023890
Rockport,Rockport,,48.4854,-121.6065,United States,US,USA,Washington,Washington,US-WA,state,,42.0,40.0,40.0,3,America/Los_Angeles,False,1840018365
Goldendale,Goldendale,,45.8191,-120.8233,United States,US,USA,Washington,Washington,US-WA,state,,457.0,3505.0,3505.0,3,America/Los_Angeles,False,1840019911
Manning,Manning,,46.9321,-117.4077,United States,US,USA,Washington,Washington,US-WA,state,,1.5,,,5,America/Los_Angeles,False,1840119876
Mabana,Mabana,,48.0945,-122.4151,United States,US,USA,Washington,Washington,US-WA,state,,209.0,,,4,America/Los_Angeles,False,1840037567
Lyons,Lyons,,47.6804,-117.5763,United States,US,USA,Washington,Washington,US-WA,state,,19.4,,,4,America/Los_Angeles,False,1840119869
Madrona Beach,Madrona Beach,,48.2173,-122.534,United States,US,USA,Washington,Washington,US-WA,state,,833.5,,,4,America/Los_Angeles,False,1840119871
Mack,Mack,,46.9052,-118.1855,United States,US,USA,Washington,Washington,US-WA,state,,0.2,,,5,America/Los_Angeles,False,1840119870
Mae,Mae,,47.1174,-119.3956,United States,US,USA,Washington,Washington,US-WA,state,,16.2,,,4,America/Los_Angeles,False,1840119873
Madson,Madson,,46.8218,-117.0938,United States,US,USA,Washington,Washington,US-WA,state,,1.7,,,5,America/Los_Angeles,False,1840119872
Magnolia Heights,Magnolia Heights,,47.2651,-122.5954,United States,US,USA,Washington,Washington,US-WA,state,,542.9,,,4,America/Los_Angeles,False,1840119875
Magallon,Magallon,,46.5896,-118.4753,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840119874
Rahm,Rahm,,47.3196,-117.1763,United States,US,USA,Washington,Washington,US-WA,state,,0.3,,,5,America/Los_Angeles,False,1840120387
Allentown,Allentown,,47.4943,-122.2762,United States,US,USA,Washington,Washington,US-WA,state,,1653.6,,,4,America/Los_Angeles,False,1840037613
Three Lakes,Three Lakes,,47.942,-121.9924,United States,US,USA,Washington,Washington,US-WA,state,,115.0,3480.0,3480.0,3,America/Los_Angeles,False,1840018375
College Place,College Place,,46.0419,-118.3879,United States,US,USA,Washington,Washington,US-WA,state,,1204.0,9317.0,9317.0,3,America/Los_Angeles,False,1840018490
Colfax,Colfax,,46.903,-117.3399,United States,US,USA,Washington,Washington,US-WA,state,,293.0,2872.0,2872.0,3,America/Los_Angeles,False,1840018458
Kent,Kent,,47.3887,-122.2129,United States,US,USA,Washington,Washington,US-WA,state,,1513.0,132319.0,132319.0,2,America/Los_Angeles,False,1840018424
Pysht,Pysht,,48.1984,-124.1163,United States,US,USA,Washington,Washington,US-WA,state,,0.1,,,5,America/Los_Angeles,False,1840120633
Kennewick,Kennewick,,46.1978,-119.1732,United States,US,USA,Washington,Washington,US-WA,state,,1186.0,240735.0,84347.0,2,America/Los_Angeles,False,1840018481
Sperry,Sperry,,46.6999,-118.41,United States,US,USA,Washington,Washington,US-WA,state,,0.3,,,5,America/Los_Angeles,False,1840120040
Sterling,Sterling,,48.4921,-122.2807,United States,US,USA,Washington,Washington,US-WA,state,,316.7,,,4,America/Los_Angeles,False,1840120046
Straight Point,Straight Point,,45.6973,-121.3959,United States,US,USA,Washington,Washington,US-WA,state,,3.0,,,5,America/Los_Angeles,False,1840120048
Diamond,Diamond,,46.9179,-117.4885,United States,US,USA,Washington,Washington,US-WA,state,,38.1,,,4,America/Los_Angeles,False,1840120220
Dewey,Dewey,,48.4251,-122.6085,United States,US,USA,Washington,Washington,US-WA,state,,113.2,,,4,America/Los_Angeles,False,1840142601
Des Moines,Des Moines,,47.3915,-122.3157,United States,US,USA,Washington,Washington,US-WA,state,,1947.0,32348.0,32348.0,3,America/Los_Angeles,False,1840018426
Delano Heights,Delano Heights,,47.9335,-119.0181,United States,US,USA,Washington,Washington,US-WA,state,,114.0,,,4,America/Los_Angeles,False,1840120218
Klickitat Heights,Klickitat Heights,,45.7826,-121.3234,United States,US,USA,Washington,Washington,US-WA,state,,3.0,,,5,America/Los_Angeles,False,1840120564
Spangle,Spangle,,47.4299,-117.3812,United States,US,USA,Washington,Washington,US-WA,state,,352.0,319.0,319.0,3,America/Los_Angeles,False,1840022290
South Prairie,South Prairie,,47.1374,-122.0939,United States,US,USA,Washington,Washington,US-WA,state,,446.0,443.0,443.0,3,America/Los_Angeles,False,1840022308
Powell,Powell,,48.7052,-118.0208,United States,US,USA,Washington,Washington,US-WA,state,,15.7,,,4,America/Los_Angeles,False,1840120631
Potlatch,Potlatch,,47.3762,-123.1493,United States,US,USA,Washington,Washington,US-WA,state,,258.7,,,4,America/Los_Angeles,False,1840120630
Fair Harbor,Fair Harbor,,47.342,-122.8321,United States,US,USA,Washington,Washington,US-WA,state,,226.1,,,4,America/Los_Angeles,False,1840119753
Ewan,Ewan,,47.1168,-117.7349,United States,US,USA,Washington,Washington,US-WA,state,,0.1,,,5,America/Los_Angeles,False,1840033736
Ewartsville,Ewartsville,,46.7032,-117.3024,United States,US,USA,Washington,Washington,US-WA,state,,3.0,,,5,America/Los_Angeles,False,1840119752
Eureka,Eureka,,48.7629,-122.4518,United States,US,USA,Washington,Washington,US-WA,state,,3274.0,,,4,America/Los_Angeles,False,1840142615
Evaline,Evaline,,46.5396,-122.9382,United States,US,USA,Washington,Washington,US-WA,state,,34.8,,,4,America/Los_Angeles,False,1840119751
Etna,Etna,,45.9382,-122.5984,United States,US,USA,Washington,Washington,US-WA,state,,25.2,,,4,America/Los_Angeles,False,1840119748
Eufaula Heights,Eufaula Heights,,46.2159,-123.0529,United States,US,USA,Washington,Washington,US-WA,state,,54.2,,,4,America/Los_Angeles,False,1840119749
Estes,Estes,,46.6338,-118.653,United States,US,USA,Washington,Washington,US-WA,state,,0.9,,,5,America/Los_Angeles,False,1840119746
