city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Minnick,Minnick,,46.1651,-118.1308,United States,US,USA,Washington,Washington,US-WA,state,,1.0,,,5,America/Los_Angeles,False,1840120149
Packard,Packard,,47.2149,-118.4942,United States,US,USA,Washington,Washington,US-WA,state,,0.4,,,5,America/Los_Angeles,False,1840120154
North Cove,North Cove,,46.7382,-124.0792,United States,US,USA,Washington,Washington,US-WA,state,,52.1,,,4,America/Los_Angeles,False,1840120153
Nemo,Nemo,,47.3429,-118.5955,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120152
Naylor,Naylor,,47.2626,-119.6137,United States,US,USA,Washington,Washington,US-WA,state,,13.3,,,4,America/Los_Angeles,False,1840120151
Veazie,Veazie,,47.2476,-121.9548,United States,US,USA,Washington,Washington,US-WA,state,,28.3,,,4,America/Los_Angeles,False,1840120681
High Bridge,High Bridge,,47.7968,-122.0281,United States,US,USA,Washington,Washington,US-WA,state,,174.0,3148.0,3148.0,3,America/Los_Angeles,False,1840041937
Herron Island,Herron Island,,47.2645,-122.8348,United States,US,USA,Washington,Washington,US-WA,state,,30.0,37.0,37.0,3,America/Los_Angeles,False,1840041931
Keller,Keller,,48.0852,-118.7164,United States,US,USA,Washington,Washington,US-WA,state,,8.0,210.0,210.0,3,America/Los_Angeles,False,1840023756
Home,Home,,47.279,-122.7744,United States,US,USA,Washington,Washington,US-WA,state,,90.0,1477.0,1477.0,3,America/Los_Angeles,False,1840023831
Chewelah,Chewelah,,48.293,-117.7336,United States,US,USA,Washington,Washington,US-WA,state,,349.0,2676.0,2676.0,3,America/Los_Angeles,False,1840018360
Humorist,Humorist,,46.1935,-118.9269,United States,US,USA,Washington,Washington,US-WA,state,,11.8,,,4,America/Los_Angeles,False,1840119825
Houser,Houser,,46.5018,-117.7763,United States,US,USA,Washington,Washington,US-WA,state,,0.3,,,5,America/Los_Angeles,False,1840119824
Independence,Independence,,46.799,-123.1551,United States,US,USA,Washington,Washington,US-WA,state,,25.7,,,4,America/Los_Angeles,False,1840119828
Illia,Illia,,46.676,-117.5044,United States,US,USA,Washington,Washington,US-WA,state,,0.6,,,5,America/Los_Angeles,False,1840119827
Moffetts Hot Springs,Moffetts Hot Springs,,45.6551,-121.9579,United States,US,USA,Washington,Washington,US-WA,state,,78.5,,,4,America/Los_Angeles,False,1840119583
Elma,Elma,,47.0055,-123.4112,United States,US,USA,Washington,Washington,US-WA,state,,507.0,3351.0,3351.0,3,America/Los_Angeles,False,1840019844
Meadowdale,Meadowdale,,47.8583,-122.3159,United States,US,USA,Washington,Washington,US-WA,state,,1144.0,3151.0,3151.0,3,America/Los_Angeles,False,1840023774
Green Bluff,Green Bluff,,47.819,-117.277,United States,US,USA,Washington,Washington,US-WA,state,,20.0,402.0,402.0,3,America/Los_Angeles,False,1840023785
Hansville,Hansville,,47.8978,-122.5579,United States,US,USA,Washington,Washington,US-WA,state,,124.0,3413.0,3413.0,3,America/Los_Angeles,False,1840023796
Getchell,Getchell,,48.072,-122.0971,United States,US,USA,Washington,Washington,US-WA,state,,127.7,,,4,America/Los_Angeles,False,1840119576
Waukon,Waukon,,47.5396,-117.8433,United States,US,USA,Washington,Washington,US-WA,state,,0.7,,,5,America/Los_Angeles,False,1840033747
Wayne,Wayne,,47.7479,-122.2107,United States,US,USA,Washington,Washington,US-WA,state,,835.1,,,4,America/Los_Angeles,False,1840120105
Weikswood,Weikswood,,46.8951,-123.4538,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120108
Touchet,Touchet,,46.0412,-118.6724,United States,US,USA,Washington,Washington,US-WA,state,,142.0,449.0,449.0,3,America/Los_Angeles,False,1840018488
Tracyton,Tracyton,,47.6095,-122.6533,United States,US,USA,Washington,Washington,US-WA,state,,1119.0,5556.0,5556.0,3,America/Los_Angeles,False,1840018408
Town and Country,Town and Country,,47.7259,-117.422,United States,US,USA,Washington,Washington,US-WA,state,,1637.0,5090.0,5090.0,3,America/Los_Angeles,False,1840037888
Puyallup,Puyallup,,47.1794,-122.2902,United States,US,USA,Washington,Washington,US-WA,state,,1157.0,42361.0,42361.0,3,America/Los_Angeles,False,1840019859
Laurier,Laurier,,48.9974,-118.2248,United States,US,USA,Washington,Washington,US-WA,state,,5.1,0.0,0.0,3,America/Los_Angeles,False,1840026092
Day Creek,Day Creek,,48.4982,-122.0665,United States,US,USA,Washington,Washington,US-WA,state,,11.0,,,4,America/Los_Angeles,False,1840120477
Willard,Willard,,45.781,-121.6309,United States,US,USA,Washington,Washington,US-WA,state,,67.9,,,4,America/Los_Angeles,False,1840147894
Silvana,Silvana,,48.2018,-122.2459,United States,US,USA,Washington,Washington,US-WA,state,,3.0,14.0,14.0,3,America/Los_Angeles,False,1840018373
Thiel,Thiel,,46.1401,-118.4916,United States,US,USA,Washington,Washington,US-WA,state,,0.4,,,5,America/Los_Angeles,False,1840120067
Thornwood,Thornwood,,48.5834,-122.2304,United States,US,USA,Washington,Washington,US-WA,state,,59.2,,,4,America/Los_Angeles,False,1840120068
Elk Plain,Elk Plain,,47.0448,-122.3671,United States,US,USA,Washington,Washington,US-WA,state,,761.0,15167.0,15167.0,3,America/Los_Angeles,False,1840037546
Maltby,Maltby,,47.8027,-122.1044,United States,US,USA,Washington,Washington,US-WA,state,,239.0,11972.0,11972.0,3,America/Los_Angeles,False,1840017326
Clipper,Clipper,,48.7601,-122.2021,United States,US,USA,Washington,Washington,US-WA,state,,21.4,,,4,America/Los_Angeles,False,1840120463
Hamilton,Hamilton,,48.5281,-121.9836,United States,US,USA,Washington,Washington,US-WA,state,,106.0,310.0,310.0,3,America/Los_Angeles,False,1840021067
Zumwalt,Zumwalt,,46.461,-117.6849,United States,US,USA,Washington,Washington,US-WA,state,,1.1,,,5,America/Los_Angeles,False,1840120129
York,York,,47.709,-122.1537,United States,US,USA,Washington,Washington,US-WA,state,,46.7,,,4,America/Los_Angeles,False,1840120128
Yellepit,Yellepit,,46.061,-118.9514,United States,US,USA,Washington,Washington,US-WA,state,,0.1,,,5,America/Los_Angeles,False,1840120126
Yardley,Yardley,,47.6671,-117.3335,United States,US,USA,Washington,Washington,US-WA,state,,171.2,,,4,America/Los_Angeles,False,1840120125
Yacht Haven,Yacht Haven,,48.5851,-123.1682,United States,US,USA,Washington,Washington,US-WA,state,,43.9,,,4,America/Los_Angeles,False,1840120124
Wymer,Wymer,,46.826,-120.4598,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840033748
Fargher Lake,Fargher Lake,,45.8884,-122.5143,United States,US,USA,Washington,Washington,US-WA,state,,77.1,,,4,America/Los_Angeles,False,1840119572
Berryman,Berryman,,46.2215,-118.3911,United States,US,USA,Washington,Washington,US-WA,state,,0.1,,,5,America/Los_Angeles,False,1840120396
Adkins,Adkins,,46.2524,-118.7047,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120395
Humptulips,Humptulips,,47.2491,-123.9348,United States,US,USA,Washington,Washington,US-WA,state,,10.0,243.0,243.0,3,America/Los_Angeles,False,1840017361
Leahy,Leahy,,47.919,-119.3889,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840119855
Lee,Lee,,46.3551,-118.5561,United States,US,USA,Washington,Washington,US-WA,state,,0.2,,,5,America/Los_Angeles,False,1840119856
Leon,Leon,,46.5318,-117.0393,United States,US,USA,Washington,Washington,US-WA,state,,1.2,,,5,America/Los_Angeles,False,1840072494
Levering,Levering,,46.7801,-119.9578,United States,US,USA,Washington,Washington,US-WA,state,,20.9,,,4,America/Los_Angeles,False,1840119859
Larson Mill,Larson Mill,,48.7557,-122.4149,United States,US,USA,Washington,Washington,US-WA,state,,1098.9,,,4,America/Los_Angeles,False,1840119851
Laurel,Laurel,,48.8551,-122.4899,United States,US,USA,Washington,Washington,US-WA,state,,98.3,,,4,America/Los_Angeles,False,1840119853
Lawrence,Lawrence,,48.8576,-122.2935,United States,US,USA,Washington,Washington,US-WA,state,,71.2,,,4,America/Los_Angeles,False,1840119854
Emden,Emden,,47.1046,-118.1227,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840033749
Stehekin,Stehekin,,48.3093,-120.6565,United States,US,USA,Washington,Washington,US-WA,state,,0.7,,,5,America/Los_Angeles,False,1840033776
Lower Elwha,Lower Elwha,,48.1443,-123.5527,United States,US,USA,Washington,Washington,US-WA,state,,150.9,,,4,America/Los_Angeles,False,1840120577
Tahuya,Tahuya,,47.3712,-123.0557,United States,US,USA,Washington,Washington,US-WA,state,,155.0,,,4,America/Los_Angeles,False,1840037823
Dutch Settlement,Dutch Settlement,,47.2537,-120.4578,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120494
Stimson,Stimson,,47.0904,-123.2318,United States,US,USA,Washington,Washington,US-WA,state,,3.9,,,5,America/Los_Angeles,False,1840120047
Wilson,Wilson,,46.4529,-122.5548,United States,US,USA,Washington,Washington,US-WA,state,,4.9,,,5,America/Los_Angeles,False,1840120702
Reiter,Reiter,,47.8412,-121.6309,United States,US,USA,Washington,Washington,US-WA,state,,241.3,,,4,America/Los_Angeles,False,1840120636
Coyle,Coyle,,47.6979,-122.8054,United States,US,USA,Washington,Washington,US-WA,state,,85.9,,,4,America/Los_Angeles,False,1840120469
Bryn Mawr,Bryn Mawr,,47.5034,-122.2329,United States,US,USA,Washington,Washington,US-WA,state,,2502.5,,,2,America/Los_Angeles,False,1840037837
Cheney,Cheney,,47.4901,-117.579,United States,US,USA,Washington,Washington,US-WA,state,,1113.0,12522.0,12522.0,3,America/Los_Angeles,False,1840018398
Eschbach,Eschbach,,46.667,-120.6337,United States,US,USA,Washington,Washington,US-WA,state,,115.0,352.0,352.0,3,America/Los_Angeles,False,1840017369
Sunnyside,Sunnyside,,46.3158,-120.0059,United States,US,USA,Washington,Washington,US-WA,state,,859.0,18352.0,16796.0,3,America/Los_Angeles,False,1840021150
Maud,Maud,,48.331,-118.0794,United States,US,USA,Washington,Washington,US-WA,state,,20.3,,,4,America/Los_Angeles,False,1840120583
Matlock,Matlock,,47.2379,-123.4079,United States,US,USA,Washington,Washington,US-WA,state,,1.4,,,5,America/Los_Angeles,False,1840037793
Meridian Heights,Meridian Heights,,47.3793,-122.1196,United States,US,USA,Washington,Washington,US-WA,state,,793.4,,,4,America/Los_Angeles,False,1840120734
Albion,Albion,,46.7916,-117.2511,United States,US,USA,Washington,Washington,US-WA,state,,594.0,604.0,604.0,3,America/Los_Angeles,False,1840021136
